Indicator,Facade H,Facade p,Facade pFDR,Facade epsilon_squared,Building H,Building permutation p,Building pFDR,Building epsilon_squared
Total window-area ratio,11.277344290564969,0.023617668544727834,0.3266637301114822,0.10107422625784679,12.255090748673046,0.0086,0.1548,0.1528720509013527
Column count,8.705608840919615,0.06889416405963548,0.3266637301114822,0.06535567834610576,11.064577676369847,0.0175,0.15750000000000003,0.13082551252536753
Window count,8.22659935332396,0.08362148857484318,0.3266637301114822,0.05870276879616612,8.155823615261019,0.0718,0.3357,0.07695969657890776
Mean door area,8.022982765946967,0.09073992503096728,0.3266637301114822,0.05587476063815232,8.117475499507469,0.0746,0.3357,0.07624954628717535
Total door-area ratio,8.910461387076257,0.06337690332018178,0.3266637301114822,0.06820085259828135,7.527592145598975,0.0991,0.35675999999999997,0.06532578047405509
