scenario_id,scenario,feature,n_buildings,H,epsilon_squared,permutation_p,BH_FDR_p
S3,British–French–Russian only,opening_area_proxy,53,0.11254615784143551,0.0,0.9483,0.9728
S3,British–French–Russian only,contour_count_mean,53,0.7027682481323619,0.0,0.7053,0.9068142857142858
S3,British–French–Russian only,curve_contour_ratio,53,5.313549618670255,0.0662709923734051,0.0704,0.8016
S3,British–French–Russian only,symmetry_degree,53,1.034433249148366,0.0,0.6038,0.8478
S4,British–French–Russian only — exclude attribution-sensitive buildings,window_count_mean,48,3.417672051381838,0.031503823364040846,0.1766,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_window_area_px2,48,0.16793914439249075,0.0,0.9252,0.9537999999999999
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_window_aspect_ratio,48,1.1330539398169674,0.0,0.5692,0.8277428571428571
S4,British–French–Russian only — exclude attribution-sensitive buildings,total_window_area_ratio,48,2.9371993113823245,0.020826651364051655,0.235,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,door_count_mean,48,2.831177674534414,0.018470614989653644,0.2494,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_door_area_px2,48,2.9787331053574047,0.021749624563497882,0.233,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_door_aspect_ratio,48,3.5605795550592725,0.034679545667983834,0.1716,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,total_door_area_ratio,48,3.678333759818858,0.0372963057737524,0.1638,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,column_count_mean,48,4.615104097573923,0.05811342439053162,0.0989,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_column_area_px2,48,0.9913074495390058,0.0,0.6186,0.8277428571428571
S4,British–French–Russian only — exclude attribution-sensitive buildings,mean_column_width_height_ratio,48,4.520361969897878,0.056008043775508394,0.1017,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,total_column_area_ratio,48,1.6258415791677538,0.0,0.4469,0.7312909090909091
S4,British–French–Russian only — exclude attribution-sensitive buildings,facade_width_height_ratio,48,0.4441474809209024,0.0,0.8027,0.9537999999999999
S4,British–French–Russian only — exclude attribution-sensitive buildings,edge_pixel_ratio,48,0.9055393586005778,0.0,0.6438,0.8277428571428571
S4,British–French–Russian only — exclude attribution-sensitive buildings,opening_area_proxy,48,0.10087463556848775,0.0,0.9538,0.9537999999999999
S4,British–French–Russian only — exclude attribution-sensitive buildings,contour_count_mean,48,0.2115194054500344,0.0,0.9002,0.9537999999999999
S4,British–French–Russian only — exclude attribution-sensitive buildings,curve_contour_ratio,48,5.205491651205933,0.07123314780457629,0.0729,0.4988
S4,British–French–Russian only — exclude attribution-sensitive buildings,symmetry_degree,48,2.178698605704336,0.003971080126763019,0.3393,0.6107400000000001
